iter	Passed	Remaining
407	1397	2027
408	1398	2020
409	1399	2013
410	1400	2006
411	1401	1999
412	1402	1993
413	1403	1986
414	1404	1980
415	1405	1973
416	1408	1968
417	1409	1962
418	1410	1956
419	1411	1949
420	1412	1943
421	1414	1937
422	1415	1930
423	1416	1924
424	1417	1917
425	1421	1915
426	1422	1908
427	1423	1902
428	1424	1895
429	1425	1889
430	1426	1883
431	1427	1876
432	1428	1870
433	1429	1863
434	1433	1861
435	1434	1855
436	1435	1849
437	1436	1843
438	1437	1836
439	1438	1830
440	1439	1824
441	1440	1817
442	1441	1812
443	1444	1808
444	1445	1802
445	1447	1798
446	1448	1792
447	1449	1786
448	1450	1780
449	1452	1775
450	1453	1769
451	1456	1765
452	1457	1759
453	1458	1753
454	1459	1747
455	1459	1741
456	1460	1735
457	1462	1730
458	1463	1724
459	1463	1718
460	1468	1717
461	1469	1711
462	1470	1705
463	1471	1699
464	1472	1693
465	1473	1688
466	1474	1683
467	1475	1677
468	1476	1671
469	1481	1670
470	1482	1664
471	1483	1659
472	1484	1654
473	1485	1648
474	1486	1643
475	1487	1637
476	1488	1632
477	1489	1626
478	1491	1622
479	1493	1617
480	1493	1611
481	1494	1606
482	1495	1600
483	1496	1595
484	1497	1589
485	1497	1584
486	1498	1578
487	1499	1573
488	1500	1568
489	1503	1564
490	1504	1559
491	1504	1553
492	1505	1548
493	1506	1543
494	1507	1537
495	1508	1533
496	1509	1527
497	1510	1522
498	1511	1517
499	1516	1516
500	1517	1511
501	1518	1506
502	1519	1501
503	1520	1496
504	1521	1491
505	1522	1486
506	1523	1481
507	1523	1475
508	1524	1471
509	1528	1468
510	1529	1464
511	1530	1458
512	1531	1453
513	1532	1449
514	1533	1444
515	1534	1439
516	1535	1434
517	1535	1429
518	1536	1424
519	1539	1420
520	1540	1416
521	1541	1411
522	1541	1406
523	1542	1401
524	1543	1396
525	1544	1391
526	1545	1386
527	1546	1382
528	1547	1377
529	1552	1376
530	1553	1371
531	1553	1366
532	1554	1362
533	1556	1357
534	1557	1353
535	1557	1348
536	1558	1343
537	1559	1339
538	1563	1337
539	1564	1332
540	1565	1328
541	1567	1324
542	1568	1319
543	1568	1315
544	1569	1310
545	1570	1306
546	1571	1301
547	1573	1297
548	1576	1294
549	1577	1290
550	1578	1286
551	1579	1281
552	1580	1277
553	1580	1272
554	1582	1268
555	1583	1264
556	1584	1259
557	1588	1257
558	1589	1253
559	1590	1249
560	1591	1245
561	1591	1240
562	1592	1236
563	1594	1232
564	1595	1228
565	1595	1223
566	1597	1219
567	1598	1215
568	1599	1211
569	1600	1207
570	1601	1203
571	1602	1198
572	1603	1194
573	1604	1190
574	1605	1186
575	1606	1182
576	1609	1180
577	1610	1176
578	1611	1172
579	1613	1168
580	1614	1164
581	1615	1160
582	1617	1157
583	1618	1153
584	1619	1149
585	1621	1145
586	1623	1142
587	1624	1138
588	1625	1134
589	1626	1130
590	1627	1126
591	1628	1122
592	1628	1117
593	1629	1113
594	1630	1109
595	1632	1106
596	1633	1102
597	1634	1098
598	1635	1095
599	1636	1091
600	1637	1087
601	1638	1083
602	1639	1079
603	1640	1075
604	1640	1071
605	1641	1067
606	1643	1063
607	1644	1060
608	1645	1056
609	1646	1052
610	1646	1048
611	1647	1044
612	1648	1040
613	1649	1036
614	1650	1033
615	1650	1029
616	1651	1025
617	1652	1021
618	1653	1017
619	1654	1014
620	1655	1010
621	1656	1006
622	1657	1002
623	1658	999
624	1659	995
625	1659	991
626	1660	988
627	1661	984
628	1662	980
629	1663	977
630	1664	973
631	1665	970
632	1667	966
633	1668	963
634	1670	960
635	1671	956
636	1671	952
637	1672	949
638	1673	945
639	1675	942
640	1675	938
641	1676	934
642	1679	932
643	1681	929
644	1682	926
645	1683	922
646	1684	919
647	1685	915
648	1686	912
649	1687	908
650	1688	904
651	1691	902
652	1692	899
653	1693	896
654	1694	892
655	1695	889
656	1696	885
657	1697	882
658	1698	878
659	1699	875
660	1700	872
661	1705	870
662	1706	867
663	1707	864
664	1708	860
665	1709	857
666	1710	853
667	1711	850
668	1712	847
669	1713	843
670	1717	842
671	1718	838
672	1719	835
673	1720	832
674	1721	828
675	1722	825
676	1723	822
677	1724	818
678	1725	815
679	1728	813
680	1729	810
681	1730	806
682	1731	803
683	1732	800
684	1733	797
685	1734	793
686	1735	790
687	1736	787
688	1738	784
689	1739	781
690	1741	778
691	1742	775
692	1743	772
693	1744	769
694	1744	765
695	1745	762
696	1747	759
697	1748	756
698	1750	753
699	1752	750
700	1753	747
701	1753	744
702	1754	741
703	1755	738
704	1757	735
705	1757	731
706	1758	728
707	1759	725
708	1762	723
709	1764	720
710	1765	717
711	1766	714
712	1767	711
713	1768	708
714	1769	705
715	1770	702
716	1771	699
717	1772	696
718	1773	693
719	1774	689
720	1776	687
721	1777	684
722	1778	681
723	1779	678
724	1780	675
725	1781	672
726	1782	669
727	1783	666
728	1786	663
729	1787	660
730	1788	657
731	1788	654
732	1790	652
733	1793	650
734	1794	647
735	1795	644
736	1796	641
737	1797	638
738	1798	635
739	1799	632
740	1800	629
741	1801	626
742	1803	623
743	1804	621
744	1806	618
745	1807	615
746	1808	612
747	1808	609
748	1809	606
749	1811	603
750	1812	600
751	1813	598
752	1815	595
753	1816	592
754	1817	589
755	1817	586
756	1818	583
757	1820	581
758	1821	578
759	1821	575
760	1824	572
761	1826	570
762	1827	567
763	1828	564
764	1828	561
765	1830	559
766	1831	556
767	1831	553
768	1832	550
769	1833	547
770	1837	545
771	1838	543
772	1839	540
773	1841	537
774	1841	534
775	1842	531
776	1843	529
777	1844	526
778	1845	523
779	1849	521
780	1850	518
781	1851	516
782	1852	513
783	1853	510
784	1854	507
785	1854	505
786	1856	502
787	1857	499
788	1861	497
789	1862	495
790	1863	492
791	1864	489
792	1865	486
793	1865	484
794	1867	481
795	1868	478
796	1869	476
797	1870	473
798	1871	470
799	1872	468
800	1873	465
801	1874	462
802	1875	460
803	1876	457
804	1877	454
805	1878	452
806	1879	449
807	1882	447
808	1884	444
809	1885	442
810	1885	439
811	1886	436
812	1888	434
813	1888	431
814	1889	429
815	1892	426
816	1894	424
817	1895	421
818	1896	419
819	1897	416
820	1898	413
821	1899	411
822	1900	408
823	1901	406
824	1902	403
825	1904	401
826	1906	398
827	1907	396
828	1908	393
829	1909	391
830	1910	388
831	1911	385
832	1912	383
833	1913	380
834	1914	378
835	1917	376
836	1918	373
837	1919	371
838	1920	368
839	1921	365
840	1922	363
841	1923	360
842	1924	358
843	1925	355
844	1930	354
845	1931	351
846	1932	349
847	1932	346
848	1934	344
849	1935	341
850	1936	339
851	1937	336
852	1939	334
853	1943	332
854	1944	329
855	1944	327
856	1945	324
857	1947	322
858	1948	319
859	1948	317
860	1949	314
861	1950	312
862	1953	310
863	1954	307
864	1955	305
865	1956	302
866	1957	300
867	1958	297
868	1959	295
869	1960	292
870	1961	290
871	1964	288
872	1965	285
873	1966	283
874	1967	281
875	1968	278
876	1969	276
877	1970	273
878	1971	271
879	1972	268
880	1973	266
881	1976	264
882	1977	262
883	1978	259
884	1979	257
885	1980	254
886	1981	252
887	1982	250
888	1983	247
889	1984	245
890	1985	242
891	1987	240
892	1988	238
893	1989	235
894	1989	233
895	1991	231
896	1992	228
897	1993	226
898	1993	224
899	1995	221
900	1997	219
901	1998	217
902	1998	214
903	2000	212
904	2001	210
905	2001	207
906	2002	205
907	2003	203
908	2005	200
909	2006	198
910	2007	196
911	2008	193
912	2009	191
913	2009	189
914	2010	186
915	2011	184
916	2012	182
917	2013	179
918	2014	177
919	2014	175
920	2015	172
921	2017	170
922	2017	168
923	2018	166
924	2019	163
925	2020	161
926	2021	159
927	2021	156
928	2022	154
929	2023	152
930	2024	150
931	2025	147
932	2026	145
933	2026	143
934	2027	140
935	2028	138
936	2029	136
937	2030	134
938	2031	131
939	2032	129
940	2032	127
941	2033	125
942	2034	122
943	2035	120
944	2036	118
945	2036	116
946	2037	114
947	2039	111
948	2040	109
949	2041	107
950	2042	105
951	2043	103
952	2043	100
953	2044	98
954	2045	96
955	2046	94
956	2047	91
957	2048	89
958	2049	87
959	2050	85
960	2051	83
961	2052	81
962	2052	78
963	2053	76
964	2054	74
965	2055	72
966	2056	70
967	2059	68
968	2061	65
969	2062	63
970	2064	61
971	2065	59
972	2066	57
973	2067	55
974	2068	53
975	2069	50
976	2069	48
977	2070	46
978	2075	44
979	2076	42
980	2077	40
981	2078	38
982	2079	35
983	2080	33
984	2081	31
985	2082	29
986	2083	27
987	2088	25
988	2089	23
989	2090	21
990	2091	18
991	2092	16
992	2093	14
993	2094	12
994	2095	10
995	2095	8
996	2100	6
997	2101	4
998	2102	2
999	2103	0
